Sample File Name	Size	Height	Area	
MAR_29_E04_2015-10-07.fsa	117.88	178	2141	
MAR_29_E04_2015-10-07.fsa	119.99	49	456	
MAR_29_E04_2015-10-07.fsa	122.71	108	942	
MAR_29_E04_2015-10-07.fsa	125.69	64	525	
MAR_29_E04_2015-10-07.fsa	126.64	51	539	
MAR_29_E04_2015-10-07.fsa	128.03	41	191	
MAR_29_E04_2015-10-07.fsa	130.88	170	1515	
MAR_29_E04_2015-10-07.fsa	131.92	90	824	
MAR_29_E04_2015-10-07.fsa	132.96	79	557	
MAR_29_E04_2015-10-07.fsa	133.91	34	170	
MAR_29_E04_2015-10-07.fsa	134.86	53	280	
MAR_29_E04_2015-10-07.fsa	136.51	47	559	
MAR_29_E04_2015-10-07.fsa	137.8	59	789	
MAR_29_E04_2015-10-07.fsa	139.27	57	279	
MAR_29_E04_2015-10-07.fsa	140.83	37	296	
MAR_29_E04_2015-10-07.fsa	142.04	46	249	
MAR_29_E04_2015-10-07.fsa	143.08	56	245	
MAR_29_E04_2015-10-07.fsa	144.03	32	274	
MAR_29_E04_2015-10-07.fsa	145.5	139	1219	
MAR_29_E04_2015-10-07.fsa	148.01	56	626	
MAR_29_E04_2015-10-07.fsa	149.22	35	156	
MAR_29_E04_2015-10-07.fsa	150.44	71	567	
MAR_29_E04_2015-10-07.fsa	153.62	32	312	
MAR_29_E04_2015-10-07.fsa	155.39	52	544	
MAR_29_E04_2015-10-07.fsa	156.62	48	291	
MAR_29_E04_2015-10-07.fsa	157.59	48	217	
MAR_29_E04_2015-10-07.fsa	158.74	85	440	
MAR_29_E04_2015-10-07.fsa	159.72	41	184	
MAR_29_E04_2015-10-07.fsa	161.57	158	1559	
MAR_29_E04_2015-10-07.fsa	162.72	52	345	
MAR_29_E04_2015-10-07.fsa	163.7	43	204	
MAR_29_E04_2015-10-07.fsa	165.11	270	3157	
MAR_29_E04_2015-10-07.fsa	166.0	67	432	
MAR_29_E04_2015-10-07.fsa	168.21	275	2652	
MAR_29_E04_2015-10-07.fsa	168.83	253	1995	
MAR_29_E04_2015-10-07.fsa	170.16	63	368	
MAR_29_E04_2015-10-07.fsa	173.79	3546	27184	
MAR_29_E04_2015-10-07.fsa	176.27	1019	8497	
MAR_29_E04_2015-10-07.fsa	178.49	36	194	
MAR_29_E04_2015-10-07.fsa	179.47	472	3392	
MAR_29_E04_2015-10-07.fsa	180.53	118	878	
MAR_29_E04_2015-10-07.fsa	181.33	45	187	
MAR_29_E04_2015-10-07.fsa	182.39	103	818	
MAR_29_E04_2015-10-07.fsa	183.46	178	1359	
MAR_29_E04_2015-10-07.fsa	184.44	717	5311	
MAR_29_E04_2015-10-07.fsa	185.68	227	1839	
MAR_29_E04_2015-10-07.fsa	187.46	132	790	
MAR_29_E04_2015-10-07.fsa	188.43	427	3249	
MAR_29_E04_2015-10-07.fsa	191.19	340	2739	
MAR_29_E04_2015-10-07.fsa	193.68	163	1187	
MAR_29_E04_2015-10-07.fsa	195.37	1706	16071	
MAR_29_E04_2015-10-07.fsa	196.35	633	4659	
MAR_29_E04_2015-10-07.fsa	197.51	415	3928	
MAR_29_E04_2015-10-07.fsa	200.26	83	629	
MAR_29_E04_2015-10-07.fsa	202.28	79	543	
MAR_29_E04_2015-10-07.fsa	203.06	86	646	
MAR_29_E04_2015-10-07.fsa	205.08	221	1513	
MAR_29_E04_2015-10-07.fsa	207.97	7458	89467	
MAR_29_E04_2015-10-07.fsa	212.08	38	114	
MAR_29_E04_2015-10-07.fsa	213.92	7752	144417	
MAR_29_E04_2015-10-07.fsa	221.53	1006	8874	
MAR_29_E04_2015-10-07.fsa	222.75	61	316	
MAR_29_E04_2015-10-07.fsa	224.24	406	3036	
MAR_29_E04_2015-10-07.fsa	225.37	146	1348	
MAR_29_E04_2015-10-07.fsa	228.08	84	377	
MAR_29_E04_2015-10-07.fsa	231.66	118	1037	
MAR_29_E04_2015-10-07.fsa	234.9	33	248	
MAR_29_E04_2015-10-07.fsa	235.94	32	180	
MAR_29_E04_2015-10-07.fsa	238.91	4337	41622	
MAR_29_E04_2015-10-07.fsa	246.6	37	214	
MAR_29_E04_2015-10-07.fsa	250.53	504	3802	
MAR_29_E04_2015-10-07.fsa	251.5	188	1458	
MAR_29_E04_2015-10-07.fsa	255.9	49	236	
MAR_29_E04_2015-10-07.fsa	256.95	1690	13273	
MAR_29_E04_2015-10-07.fsa	258.8	182	1236	
MAR_29_E04_2015-10-07.fsa	260.65	183	739	
MAR_29_E04_2015-10-07.fsa	261.53	283	1343	
MAR_29_E04_2015-10-07.fsa	262.85	219	2516	
MAR_29_E04_2015-10-07.fsa	264.08	6927	64275	
MAR_29_E04_2015-10-07.fsa	267.43	731	7723	
MAR_29_E04_2015-10-07.fsa	269.98	135	1070	
MAR_29_E04_2015-10-07.fsa	272.27	87	585	
MAR_29_E04_2015-10-07.fsa	273.42	374	3562	
MAR_29_E04_2015-10-07.fsa	274.65	78	776	
MAR_29_E04_2015-10-07.fsa	278.17	70	726	
MAR_29_E04_2015-10-07.fsa	283.19	947	9613	
MAR_29_E04_2015-10-07.fsa	285.83	290	3152	
MAR_29_E04_2015-10-07.fsa	286.97	236	1979	
MAR_29_E04_2015-10-07.fsa	288.29	220	1475	
MAR_29_E04_2015-10-07.fsa	290.76	4029	43284	
MAR_29_E04_2015-10-07.fsa	291.9	2613	28451	
MAR_29_E04_2015-10-07.fsa	299.91	381	8162	
MAR_29_E04_2015-10-07.fsa	302.63	35	270	
MAR_29_E04_2015-10-07.fsa	304.12	290	1985	
MAR_29_E04_2015-10-07.fsa	307.98	7182	78247	
MAR_29_E04_2015-10-07.fsa	308.85	5342	47807	
MAR_29_E04_2015-10-07.fsa	312.53	425	2863	
MAR_29_E04_2015-10-07.fsa	313.76	39	121	
MAR_29_E04_2015-10-07.fsa	317.17	451	6183	
MAR_29_E04_2015-10-07.fsa	319.97	307	3090	
MAR_29_E04_2015-10-07.fsa	322.16	630	4196	
MAR_29_E04_2015-10-07.fsa	323.56	997	7365	
MAR_29_E04_2015-10-07.fsa	324.69	1640	17853	
MAR_29_E04_2015-10-07.fsa	330.02	744	9476	
MAR_29_E04_2015-10-07.fsa	333.69	31	275	
MAR_29_E04_2015-10-07.fsa	334.83	85	855	
MAR_29_E04_2015-10-07.fsa	335.7	71	607	
MAR_29_E04_2015-10-07.fsa	337.27	94	671	
MAR_29_E04_2015-10-07.fsa	339.63	111	1115	
MAR_29_E04_2015-10-07.fsa	340.59	380	3014	
MAR_29_E04_2015-10-07.fsa	343.46	43	404	
MAR_29_E04_2015-10-07.fsa	345.12	75	905	
MAR_29_E04_2015-10-07.fsa	346.86	245	2606	
MAR_29_E04_2015-10-07.fsa	350.26	81	776	
MAR_29_E04_2015-10-07.fsa	351.99	138	1117	
MAR_29_E04_2015-10-07.fsa	355.37	129	653	
MAR_29_E04_2015-10-07.fsa	358.06	3444	44222	
MAR_29_E04_2015-10-07.fsa	360.84	40	228	
MAR_29_E04_2015-10-07.fsa	365.0	94	891	
MAR_29_E04_2015-10-07.fsa	369.77	45	264	
MAR_29_E04_2015-10-07.fsa	370.81	41	275	
MAR_29_E04_2015-10-07.fsa	371.94	185	1556	
MAR_29_E04_2015-10-07.fsa	373.16	68	660	
MAR_29_E04_2015-10-07.fsa	378.1	550	5627	
MAR_29_E04_2015-10-07.fsa	380.27	458	5794	
MAR_29_E04_2015-10-07.fsa	382.53	110	646	
MAR_29_E04_2015-10-07.fsa	386.7	145	1239	
MAR_29_E04_2015-10-07.fsa	387.57	57	457	
MAR_29_E04_2015-10-07.fsa	389.22	48	247	
MAR_29_E04_2015-10-07.fsa	390.26	53	260	
MAR_29_E04_2015-10-07.fsa	393.31	694	8469	
MAR_29_E04_2015-10-07.fsa	395.48	60	503	
MAR_29_E04_2015-10-07.fsa	398.96	522	6105	
MAR_29_E04_2015-10-07.fsa	401.8	404	3423	
MAR_29_E04_2015-10-07.fsa	402.66	274	2223	
MAR_29_E04_2015-10-07.fsa	403.61	321	3864	
MAR_29_E04_2015-10-07.fsa	405.59	101	709	
MAR_29_E04_2015-10-07.fsa	407.15	117	428	
MAR_29_E04_2015-10-07.fsa	408.19	967	6585	
MAR_29_E04_2015-10-07.fsa	409.14	319	2269	
MAR_29_E04_2015-10-07.fsa	410.79	1201	8923	
MAR_29_E04_2015-10-07.fsa	413.57	1822	24376	
MAR_29_E04_2015-10-07.fsa	417.58	85	797	
MAR_29_E04_2015-10-07.fsa	418.1	73	565	
MAR_29_E04_2015-10-07.fsa	419.85	61	871	
MAR_29_E04_2015-10-07.fsa	423.63	61	555	
MAR_29_E04_2015-10-07.fsa	424.77	58	374	
MAR_29_E04_2015-10-07.fsa	425.83	188	1335	
MAR_29_E04_2015-10-07.fsa	426.88	60	296	
MAR_29_E04_2015-10-07.fsa	429.27	1583	15957	
MAR_29_E04_2015-10-07.fsa	431.75	47	211	
MAR_29_E04_2015-10-07.fsa	433.17	230	2783	
MAR_29_E04_2015-10-07.fsa	434.14	398	3991	
MAR_29_E04_2015-10-07.fsa	439.94	140	1312	
MAR_29_E04_2015-10-07.fsa	443.07	73	604	
MAR_29_E04_2015-10-07.fsa	444.87	306	2948	
MAR_29_E04_2015-10-07.fsa	447.02	501	4025	
MAR_29_E04_2015-10-07.fsa	449.28	628	6792	
MAR_29_E04_2015-10-07.fsa	450.28	315	2459	
MAR_29_E04_2015-10-07.fsa	452.45	624	5355	
MAR_29_E04_2015-10-07.fsa	455.28	1453	16922	
MAR_29_E04_2015-10-07.fsa	457.16	1754	16752	
MAR_29_E04_2015-10-07.fsa	461.4	1170	15018	
MAR_29_E04_2015-10-07.fsa	463.46	211	1428	
MAR_29_E04_2015-10-07.fsa	465.72	743	6034	
MAR_29_E04_2015-10-07.fsa	467.41	48	217	
MAR_29_E04_2015-10-07.fsa	469.94	71	540	
MAR_29_E04_2015-10-07.fsa	471.25	117	958	
MAR_29_E04_2015-10-07.fsa	474.06	1182	14775	
MAR_29_E04_2015-10-07.fsa	475.0	873	7760	
MAR_29_E04_2015-10-07.fsa	476.26	170	1287	
MAR_29_E04_2015-10-07.fsa	477.69	117	625	
MAR_29_E04_2015-10-07.fsa	478.67	166	1219	
MAR_29_E04_2015-10-07.fsa	479.66	873	7652	
MAR_29_E04_2015-10-07.fsa	481.0	152	1439	
MAR_29_E04_2015-10-07.fsa	482.78	250	1817	
MAR_29_E04_2015-10-07.fsa	483.93	1225	12373	
MAR_29_E04_2015-10-07.fsa	485.36	354	3365	
MAR_29_E04_2015-10-07.fsa	488.64	361	3306	
MAR_29_E04_2015-10-07.fsa	490.41	272	2885	
MAR_29_E04_2015-10-07.fsa	491.91	37	177	
MAR_29_E04_2015-10-07.fsa	493.32	73	547	
MAR_29_E04_2015-10-07.fsa	494.55	80	505	
MAR_29_E04_2015-10-07.fsa	495.79	64	317	
MAR_29_E04_2015-10-07.fsa	496.84	37	115	
MAR_29_E04_2015-10-07.fsa	499.91	595	6129	
MAR_29_E04_2015-10-07.fsa	502.06	82	697	
MAR_29_E04_2015-10-07.fsa	507.96	1267	22777	
MAR_29_E04_2015-10-07.fsa	513.7	623	6840	
MAR_29_E04_2015-10-07.fsa	515.86	216	2047	
MAR_29_E04_2015-10-07.fsa	520.8	1435	13871	
MAR_29_E04_2015-10-07.fsa	524.67	458	3752	
MAR_29_E04_2015-10-07.fsa	527.11	168	1262	
MAR_29_E04_2015-10-07.fsa	529.09	533	6293	
MAR_29_E04_2015-10-07.fsa	532.79	94	820	
MAR_29_E04_2015-10-07.fsa	533.97	469	4420	
MAR_29_E04_2015-10-07.fsa	535.32	149	1634	
MAR_29_E04_2015-10-07.fsa	539.3	105	795	
MAR_29_E04_2015-10-07.fsa	540.48	1468	16167	
MAR_29_E04_2015-10-07.fsa	546.82	725	6070	
MAR_29_E04_2015-10-07.fsa	550.91	2071	24503	
MAR_29_E04_2015-10-07.fsa	554.72	670	8169	
MAR_29_E04_2015-10-07.fsa	558.35	930	10643	
MAR_29_E04_2015-10-07.fsa	559.89	283	3065	
MAR_29_E04_2015-10-07.fsa	563.17	765	9130	
MAR_29_E04_2015-10-07.fsa	564.62	305	3377	
MAR_29_E04_2015-10-07.fsa	572.17	859	12740	
MAR_29_E04_2015-10-07.fsa	573.81	374	4255	
MAR_29_E04_2015-10-07.fsa	577.64	695	8035	
MAR_29_E04_2015-10-07.fsa	581.19	1526	16648	
MAR_29_E04_2015-10-07.fsa	583.84	1321	13522	
MAR_29_E04_2015-10-07.fsa	586.12	237	1154	
MAR_29_E04_2015-10-07.fsa	587.58	5666	53681	
MAR_29_E04_2015-10-07.fsa	590.5	1141	8236	
MAR_29_E04_2015-10-07.fsa	591.87	71	293	
MAR_29_E04_2015-10-07.fsa	594.24	34	211	
MAR_29_E04_2015-10-07.fsa	595.79	43	239	
MAR_29_E04_2015-10-07.fsa	601.36	309	3178	
MAR_29_E04_2015-10-07.fsa	602.63	98	895	
MAR_29_E04_2015-10-07.fsa	604.91	523	6244	
MAR_29_E04_2015-10-07.fsa	607.27	409	3411	
MAR_29_E04_2015-10-07.fsa	609.46	81	689	
MAR_29_E04_2015-10-07.fsa	610.64	111	1360	
MAR_29_E04_2015-10-07.fsa	613.01	272	1684	
MAR_29_E04_2015-10-07.fsa	615.2	248	1901	
MAR_29_E04_2015-10-07.fsa	617.58	881	10628	
MAR_29_E04_2015-10-07.fsa	620.23	443	3689	
MAR_29_E04_2015-10-07.fsa	624.44	123	1311	
MAR_29_E04_2015-10-07.fsa	628.38	379	5504	
MAR_29_E04_2015-10-07.fsa	630.03	369	3728	
MAR_29_E04_2015-10-07.fsa	632.69	1415	13139	
MAR_29_E04_2015-10-07.fsa	635.44	1779	19960	
MAR_29_E04_2015-10-07.fsa	639.58	1496	15301	
MAR_29_E04_2015-10-07.fsa	642.16	108	822	
MAR_29_E04_2015-10-07.fsa	645.11	1664	17799	
MAR_29_E04_2015-10-07.fsa	649.26	777	6843	
